step,t,max_speed,interior_div,v_probe
3120,78.0000,1.58063e0,8.42e-13,-6.873962e-3
3140,78.5000,1.58063e0,8.73e-13,-6.873969e-3
3160,79.0000,1.58063e0,8.55e-13,-6.873980e-3
3180,79.5000,1.58063e0,7.84e-13,-6.873989e-3
3200,80.0000,1.58063e0,8.28e-13,-6.873992e-3
3220,80.5000,1.58063e0,8.74e-13,-6.873988e-3
3240,81.0000,1.58063e0,8.62e-13,-6.873981e-3
3260,81.5000,1.58063e0,6.30e-13,-6.873973e-3
3280,82.0000,1.58063e0,7.85e-13,-6.873969e-3
3300,82.5000,1.58063e0,7.52e-13,-6.873970e-3
3320,83.0000,1.58063e0,7.38e-13,-6.873973e-3
3340,83.5000,1.58063e0,8.46e-13,-6.873977e-3
3360,84.0000,1.58063e0,8.96e-13,-6.873979e-3
3380,84.5000,1.58063e0,9.87e-13,-6.873978e-3
3400,85.0000,1.58063e0,6.96e-13,-6.873976e-3
3420,85.5000,1.58063e0,7.61e-13,-6.873972e-3
3440,86.0000,1.58063e0,9.77e-13,-6.873969e-3
3460,86.5000,1.58063e0,9.57e-13,-6.873968e-3
3480,87.0000,1.58063e0,9.99e-13,-6.873968e-3
3500,87.5000,1.58063e0,8.37e-13,-6.873969e-3
3520,88.0000,1.58063e0,8.81e-13,-6.873971e-3
3540,88.5000,1.58063e0,1.06e-12,-6.873971e-3
3560,89.0000,1.58063e0,1.04e-12,-6.873970e-3
3580,89.5000,1.58063e0,8.71e-13,-6.873968e-3
3600,90.0000,1.58063e0,8.67e-13,-6.873966e-3
3620,90.5000,1.58063e0,8.82e-13,-6.873965e-3
3640,91.0000,1.58063e0,1.09e-12,-6.873965e-3
3660,91.5000,1.58063e0,9.23e-13,-6.873965e-3
3680,92.0000,1.58063e0,8.48e-13,-6.873966e-3
3700,92.5000,1.58063e0,8.88e-13,-6.873966e-3
3720,93.0000,1.58063e0,7.85e-13,-6.873965e-3
3740,93.5000,1.58063e0,1.12e-12,-6.873965e-3
